Total Expenses,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,Facilities and Equipment,Coaches Compensation,Support and Admin Compensation w/Severance,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,"NCAA/Conference Distributions, Media Rights, and Post-Season Football",Ticket Sales,Total Academic Spending (University-Wide),Total Football Spending,Total Football Coaching Salaries,Athletics Related Debt,"Annual Debt Service, Leases and Rental Fees on Athletic Facilities"
98825395.0,8545549.0,1771453.0,1491284.0,1482432.0,8527166.0,25686286.0,19134263.0,17411131.0,14775932.0,111579861.0,3842275.0,16611557.0,19812494.0,31855182.0,11133481.0,1441492911.0,31724821.0,8332187.0,211774111.0,12129111.0
126782387.0,9549397.0,1631447.0,1763586.0,1543683.0,11221325.0,32377384.0,21838455.0,32149151.0,15718959.0,113636755.0,3923623.0,18171949.0,24994817.0,33127217.0,12411921.0,1728487531.0,52816913.0,8586651.0,219565111.0,12549111.0
9424316.0,271688.0,137851.0,486415.0,187579.0,1311564.0,1216583.0,1974212.0,1414694.0,2444751.0,7214141.0,449812.0,449485.0,563146.0,498341.0,813111.0,111581748.0,2963611.0,797419.0,1.0,1.0
11392939.0,639231.0,184744.0,581111.0,221932.0,1572965.0,725592.0,2515351.0,1265149.0,2688976.0,7827764.0,786942.0,414918.0,539127.0,526821.0,943197.0,113737179.0,3695679.0,1155652.0,1.0,1.0
11151532.0,668117.0,163849.0,531111.0,246843.0,1692966.0,1718761.0,2154115.0,967171.0,3118922.0,9975176.0,798189.0,256893.0,614531.0,639112.0,995133.0,128995834.0,3781318.0,894921.0,1.0,1.0
13332956.0,641649.0,163892.0,438918.0,246524.0,1693298.0,1321398.0,3338898.0,1331487.0,4157892.0,9478913.0,841832.0,332663.0,586761.0,671185.0,889971.0,147885812.0,4183536.0,1111998.0,1.0,1.0
13374517.0,762179.0,117146.0,449998.0,312371.0,1881131.0,946965.0,2767191.0,1579741.0,4558885.0,13374517.0,1131438.0,213881.0,64516.0,674596.0,837468.0,157621516.0,4785715.0,1316145.0,1.0,1.0
15317318.0,685692.0,147346.0,541411.0,311878.0,2131975.0,1711311.0,3218771.0,1827816.0,4764141.0,15317318.0,1232847.0,482788.0,84237.0,1119811.0,1296962.0,153765289.0,5299557.0,1421951.0,1.0,1.0
16281138.0,767564.0,91175.0,718488.0,396511.0,2547631.0,1976634.0,3727281.0,1718953.0,4357912.0,16281138.0,1647961.0,251348.0,413388.0,1116436.0,1398414.0,154833641.0,6319216.0,1618114.0,1.0,1.0
21151793.0,2554688.0,171297.0,588882.0,432168.0,2743236.0,1977516.0,3762577.0,2538483.0,5384146.0,21151793.0,2263899.0,644444.0,1561468.0,1664389.0,1455252.0,153676591.0,7589999.0,1836462.0,1.0,1.0
29211785.0,11826561.0,173356.0,618161.0,429375.0,2787993.0,2153145.0,4162211.0,2726341.0,5434855.0,29211785.0,2862197.0,1414252.0,6281981.0,1778766.0,1313939.0,147472997.0,15172254.0,2196948.0,1.0,1.0
43112144.0,21259384.0,293925.0,514511.0,467315.0,3418411.0,3211111.0,4271784.0,2931214.0,6755421.0,43112144.0,21171663.0,1619354.0,2221434.0,2552213.0,1666852.0,157288177.0,13121362.0,2295196.0,1.0,1.0
39459127.0,14563139.0,235312.0,594163.0,546871.0,3289617.0,5814531.0,4519859.0,3136818.0,6858838.0,39459127.0,7371617.0,2748571.0,9594161.0,3638599.0,1517387.0,153191655.0,18996248.0,2437212.0,1.0,1.0
41198989.0,15985714.0,259991.0,322511.0,475581.0,3381497.0,4645127.0,4778912.0,2984987.0,7265691.0,41198989.0,9148768.0,3497265.0,9541269.0,2216269.0,1374396.0,163819965.0,21884373.0,2556699.0,1.0,1.0
61314114.0,7513926.0,516357.0,2932268.0,1456761.0,5498654.0,18277164.0,9698471.0,9315665.0,6124949.0,57395152.0,2318811.0,888953.0,22865881.0,13671177.0,15842982.0,479365619.0,21171531.0,4943375.0,65191371.0,6481219.0
63249119.0,9756981.0,745191.0,2371977.0,1739224.0,5545631.0,17828429.0,11271828.0,8375911.0,6614949.0,66599925.0,4156519.0,1111444.0,26316262.0,13279251.0,21199721.0,477263183.0,18197817.0,5151724.0,61524429.0,7177817.0
68911465.0,11971634.0,726198.0,3675436.0,1375569.0,6217463.0,18251599.0,11915718.0,11213518.0,6594451.0,81799266.0,6244231.0,977585.0,31715111.0,16118134.0,21796112.0,538383661.0,22953259.0,5447556.0,58846526.0,7117222.0
69841211.0,11183626.0,649485.0,2667721.0,1452521.0,6388877.0,18893353.0,11331594.0,11133418.0,7141616.0,89311824.0,4145161.0,6179271.0,34897688.0,16896757.0,21991623.0,611271341.0,23177817.0,5633433.0,54129186.0,7256759.0
85481343.0,13165215.0,644218.0,2249391.0,1585843.0,6614135.0,23718811.0,11931855.0,18127173.0,7554922.0,87111413.0,4852821.0,3396585.0,32181789.0,17548151.0,23514179.0,612781116.0,28811871.0,5421916.0,115759125.0,9555329.0
91918912.0,16171165.0,679441.0,2811697.0,1671581.0,7261953.0,24621138.0,13928324.0,14968166.0,8797738.0,92611558.0,5414262.0,3188793.0,29731122.0,24283643.0,24732134.0,596474474.0,27911717.0,6526341.0,119977115.0,11434357.0
111497784.0,13582519.0,852477.0,4319311.0,2132892.0,8859213.0,26684851.0,19795958.0,14536962.0,9733611.0,113982441.0,5379115.0,5154986.0,32849477.0,27281293.0,28976731.0,645959466.0,39169675.0,11362515.0,116173955.0,11186111.0
96315831.0,13291253.0,611138.0,3194394.0,2544911.0,7522375.0,25397819.0,17671721.0,16214845.0,9989376.0,115951251.0,3928998.0,6886435.0,33467775.0,27177118.0,29241252.0,654382636.0,33334594.0,9261729.0,79199651.0,8929611.0
113126413.0,15613258.0,997164.0,3191151.0,2796184.0,7698941.0,25164326.0,16899521.0,21461164.0,11415916.0,113681619.0,4358754.0,5217615.0,31832126.0,27111863.0,28494559.0,666923747.0,36316282.0,8635511.0,118778211.0,9973181.0
126471612.0,18416524.0,1134511.0,5119199.0,2719528.0,11213454.0,31863141.0,21371279.0,24758364.0,12114613.0,113716114.0,5116958.0,5275554.0,39419178.0,29768173.0,29833441.0,694962727.0,49639258.0,11471552.0,119418711.0,11881487.0
115498147.0,14122215.0,881528.0,3766335.0,2411161.0,8374185.0,23976881.0,21121891.0,25911456.0,14945396.0,124657247.0,8342361.0,6162826.0,37114887.0,38313963.0,31181317.0,713358897.0,39577351.0,11215471.0,111185273.0,11881428.0
124864399.0,16896743.0,995111.0,3647171.0,2257968.0,9595853.0,26955112.0,22553348.0,26413833.0,15559381.0,141171593.0,9898413.0,6196361.0,35721711.0,47411352.0,32165386.0,644384774.0,41896341.0,11843789.0,95854212.0,11166113.0
132885979.0,16131481.0,981666.0,3714155.0,2213392.0,11961398.0,31531618.0,23621156.0,27941196.0,15892927.0,147511134.0,11395118.0,8824421.0,35411244.0,56197645.0,32991196.0,831632491.0,42868771.0,12216821.0,96161153.0,11164115.0
139798191.0,16455196.0,935294.0,3887937.0,2183737.0,12219736.0,31525669.0,27113672.0,29678643.0,16998317.0,147621569.0,11156883.0,9631412.0,35683958.0,53628166.0,33213941.0,892171562.0,44381721.0,14947761.0,91755369.0,11165498.0
9622461.0,926965.0,211436.0,46585.0,139515.0,788797.0,419681.0,1897435.0,1181664.0,4111382.0,9974252.0,298131.0,424462.0,697514.0,616134.0,199895.0,128424464.0,1913545.0,516977.0,1.0,1.0
9854277.0,1158229.0,251518.0,43661.0,144424.0,768447.0,348476.0,1924241.0,1213433.0,4112861.0,11664764.0,412544.0,467644.0,934971.0,555872.0,181489.0,125251268.0,2158474.0,542255.0,1.0,1.0
12698929.0,2287765.0,284381.0,25895.0,138937.0,911634.0,1155953.0,2259674.0,1394141.0,4351649.0,12191296.0,572838.0,418291.0,1162981.0,667156.0,155783.0,131376615.0,2614342.0,573987.0,9511111.0,1.0
11995168.0,1138985.0,271443.0,65288.0,119116.0,1118493.0,1256911.0,2279399.0,1412793.0,4442651.0,11242672.0,231437.0,592769.0,879578.0,692719.0,187434.0,121913488.0,2461981.0,571542.0,9519531.0,319715.0
14184775.0,1712385.0,251523.0,211251.0,176634.0,1177283.0,1521395.0,2599829.0,1623337.0,5123139.0,15154915.0,7866.0,2922176.0,945382.0,787933.0,181585.0,116358125.0,3224518.0,764831.0,9519531.0,319715.0
15122198.0,985497.0,247234.0,17151.0,289719.0,1371811.0,2159149.0,2885241.0,1779271.0,5387238.0,15726585.0,541657.0,293527.0,1953112.0,1587543.0,295634.0,137129219.0,3757911.0,851133.0,9519531.0,521411.0
16983571.0,1531967.0,373229.0,81751.0,439859.0,1812891.0,2232394.0,3152963.0,1995991.0,5362527.0,16435512.0,579545.0,588873.0,1816632.0,932257.0,358822.0,151468556.0,4121924.0,924559.0,9112667.0,521866.0
16189583.0,2726957.0,114134.0,67617.0,223864.0,1391792.0,1227241.0,3412399.0,2566113.0,4461687.0,16192664.0,947114.0,226643.0,1522225.0,775635.0,1118711.0,288941594.0,4325954.0,1115297.0,1.0,1.0
19616773.0,1746523.0,555659.0,486111.0,236362.0,1365654.0,2495173.0,4371472.0,3142729.0,5217311.0,21498188.0,873565.0,628914.0,1285632.0,1291729.0,1119853.0,322968571.0,5359791.0,1581837.0,1.0,1.0
17347944.0,1561538.0,255695.0,713787.0,214168.0,1591952.0,2155945.0,4191285.0,1355691.0,5518883.0,21132632.0,515228.0,588619.0,1353153.0,1126459.0,693218.0,331695768.0,5154426.0,1361321.0,1.0,1.0
19516118.0,1316161.0,177152.0,653118.0,219885.0,1583341.0,2174424.0,4175945.0,3379736.0,6136566.0,21483476.0,488974.0,719188.0,1444423.0,1144657.0,628719.0,339678478.0,5489371.0,1351161.0,1.0,1.0
21174719.0,1538196.0,311474.0,385751.0,251521.0,1699257.0,1571521.0,4366115.0,3684314.0,6367661.0,21129858.0,641218.0,591552.0,1543123.0,1216575.0,1562948.0,348172197.0,5673718.0,1434746.0,1.0,1.0
22727145.0,1521771.0,574159.0,373111.0,381883.0,2465661.0,2233292.0,4817146.0,3688137.0,6673197.0,21315999.0,728174.0,518127.0,571219.0,1949365.0,555765.0,359745122.0,6456671.0,1655128.0,1.0,1.0
25245451.0,1689336.0,743145.0,164511.0,396476.0,3127467.0,3634657.0,4814914.0,3776761.0,6998315.0,23424359.0,744718.0,721138.0,697611.0,1915971.0,1118482.0,376184569.0,6833612.0,1698141.0,1.0,1.0
25495662.0,1462151.0,715917.0,1172511.0,365643.0,2713185.0,3165134.0,5128843.0,3622156.0,7251433.0,22811611.0,684611.0,226131.0,651667.0,2219781.0,619292.0,386148841.0,7121457.0,1748199.0,1.0,1.0
27226319.0,1651265.0,778796.0,723111.0,411694.0,2821511.0,3468458.0,5445289.0,4111542.0,7926764.0,25542539.0,1326814.0,275746.0,311162.0,2415155.0,1164726.0,411196773.0,7288847.0,1931681.0,1.0,1.0
27411745.0,1959477.0,416564.0,578825.0,492471.0,2691372.0,3564143.0,5191111.0,4151135.0,8367947.0,26198565.0,568559.0,326339.0,771198.0,3783695.0,513427.0,416221166.0,7755536.0,1696769.0,1.0,1.0
